Date : 2022-09-03 16:37:23
Directory : d:\Projects\nodens-engine
Total : 2765 files,  623383 codes, 91567 comments, 84240 blanks, all 799190 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| Moxxi\vendor\glad\src                                                                                                  |          1 |      1,769 |         25 |         47 |      1,841 |
| Moxxi\vendor\glm                                                                                                       |      1,669 |    292,354 |     17,737 |     25,133 |    335,224 |
| Moxxi\vendor\glm\doc                                                                                                   |        796 |    151,793 |      3,676 |      7,592 |    163,061 |
| Moxxi\vendor\glm\doc\api                                                                                               |        795 |    150,579 |      3,630 |      7,355 |    161,564 |
| Moxxi\vendor\glm\doc\api\search                                                                                        |        188 |      7,309 |        501 |        304 |      8,114 |
| Moxxi\vendor\glm\doc\theme                                                                                             |          1 |      1,214 |         46 |        237 |      1,497 |
| Moxxi\vendor\glm\glm                                                                                                   |        430 |     41,016 |     13,169 |     10,233 |     64,418 |
| Moxxi\vendor\glm\glm\detail                                                                                            |         61 |     16,970 |      1,101 |      3,032 |     21,103 |
| Moxxi\vendor\glm\glm\ext                                                                                               |        169 |      4,152 |      4,069 |      1,692 |      9,913 |
| Moxxi\vendor\glm\glm\gtc                                                                                               |         37 |      5,101 |      3,263 |      2,040 |     10,404 |
| Moxxi\vendor\glm\glm\gtx                                                                                               |        126 |     10,973 |      3,102 |      2,695 |     16,770 |
| Moxxi\vendor\glm\glm\simd                                                                                              |         10 |      1,425 |        385 |        315 |      2,125 |
| Moxxi\vendor\glm\test                                                                                                  |        428 |     93,486 |        892 |      6,251 |    100,629 |
| Moxxi\vendor\glm\test\bug                                                                                              |          6 |        983 |          2 |          8 |        993 |
| Moxxi\vendor\glm\test\cmake                                                                                            |          2 |         24 |          0 |          8 |         32 |
| Moxxi\vendor\glm\test\core                                                                                             |        111 |     27,566 |        297 |      2,331 |     30,194 |
| Moxxi\vendor\glm\test\ext                                                                                              |        116 |     23,580 |          8 |      1,299 |     24,887 |
| Moxxi\vendor\glm\test\gtc                                                                                              |         45 |     11,876 |        220 |      1,162 |     13,258 |
| Moxxi\vendor\glm\test\gtx                                                                                              |        128 |     25,270 |        364 |      1,158 |     26,792 |
| Moxxi\vendor\glm\test\perf                                                                                             |         16 |      3,371 |          0 |        241 |      3,612 |
| Moxxi\vendor\imgui                                                                                                     |        123 |     59,584 |     17,208 |      9,756 |     86,548 |
| Moxxi\vendor\imgui\.github                                                                                             |          6 |        456 |         64 |        135 |        655 |
| Moxxi\vendor\imgui\.github\workflows                                                                                   |          3 |        423 |         64 |        112 |        599 |
| Moxxi\vendor\imgui\backends                                                                                            |         36 |      9,588 |      1,939 |      1,454 |     12,981 |
| Moxxi\vendor\imgui\backends\vulkan                                                                                     |          1 |          2 |          4 |          1 |          7 |
| Moxxi\vendor\imgui\docs                                                                                                |          5 |      1,260 |          0 |        431 |      1,691 |
| Moxxi\vendor\imgui\examples                                                                                            |         57 |      6,461 |      5,713 |      1,567 |     13,741 |
| Moxxi\vendor\imgui\examples\example_allegro5                                                                           |          3 |        111 |         49 |         35 |        195 |
| Moxxi\vendor\imgui\examples\example_android_opengl3                                                                    |          6 |        342 |         66 |         90 |        498 |
| Moxxi\vendor\imgui\examples\example_android_opengl3\android                                                            |          4 |         73 |          0 |         14 |         87 |
| Moxxi\vendor\imgui\examples\example_android_opengl3\android\app                                                        |          2 |         52 |          0 |          8 |         60 |
| Moxxi\vendor\imgui\examples\example_android_opengl3\android\app\src                                                    |          1 |         21 |          0 |          4 |         25 |
| Moxxi\vendor\imgui\examples\example_android_opengl3\android\app\src\main                                               |          1 |         21 |          0 |          4 |         25 |
| Moxxi\vendor\imgui\examples\example_apple_metal                                                                        |          4 |        352 |         58 |         80 |        490 |
| Moxxi\vendor\imgui\examples\example_apple_metal\iOS                                                                    |          1 |         26 |          1 |          1 |         28 |
| Moxxi\vendor\imgui\examples\example_apple_metal\macOS                                                                  |          1 |         92 |          1 |          1 |         94 |
| Moxxi\vendor\imgui\examples\example_apple_opengl2                                                                      |          1 |        180 |         49 |         55 |        284 |
| Moxxi\vendor\imgui\examples\example_emscripten_opengl3                                                                 |          3 |        180 |         50 |         34 |        264 |
| Moxxi\vendor\imgui\examples\example_emscripten_wgpu                                                                    |          2 |        161 |         45 |         51 |        257 |
| Moxxi\vendor\imgui\examples\example_glfw_metal                                                                         |          1 |        101 |         39 |         33 |        173 |
| Moxxi\vendor\imgui\examples\example_glfw_opengl2                                                                       |          2 |        105 |         56 |         30 |        191 |
| Moxxi\vendor\imgui\examples\example_glfw_opengl3                                                                       |          2 |        121 |         54 |         30 |        205 |
| Moxxi\vendor\imgui\examples\example_glfw_vulkan                                                                        |          4 |        466 |         94 |         92 |        652 |
| Moxxi\vendor\imgui\examples\example_glut_opengl2                                                                       |          1 |         81 |         48 |         28 |        157 |
| Moxxi\vendor\imgui\examples\example_marmalade                                                                          |          1 |         64 |         37 |         25 |        126 |
| Moxxi\vendor\imgui\examples\example_null                                                                               |          2 |         29 |          5 |          8 |         42 |
| Moxxi\vendor\imgui\examples\example_sdl_directx11                                                                      |          2 |        168 |         54 |         37 |        259 |
| Moxxi\vendor\imgui\examples\example_sdl_metal                                                                          |          1 |        110 |         41 |         31 |        182 |
| Moxxi\vendor\imgui\examples\example_sdl_opengl2                                                                        |          3 |        132 |         52 |         38 |        222 |
| Moxxi\vendor\imgui\examples\example_sdl_opengl3                                                                        |          3 |        152 |         52 |         38 |        242 |
| Moxxi\vendor\imgui\examples\example_sdl_vulkan                                                                         |          2 |        436 |         80 |         75 |        591 |
| Moxxi\vendor\imgui\examples\example_win32_directx10                                                                    |          2 |        179 |         52 |         40 |        271 |
| Moxxi\vendor\imgui\examples\example_win32_directx11                                                                    |          2 |        192 |         60 |         42 |        294 |
| Moxxi\vendor\imgui\examples\example_win32_directx12                                                                    |          2 |        361 |         60 |         73 |        494 |
| Moxxi\vendor\imgui\examples\example_win32_directx9                                                                     |          2 |        184 |         54 |         41 |        279 |
| Moxxi\vendor\imgui\examples\libs                                                                                       |          4 |      1,014 |      4,344 |        385 |      5,743 |
| Moxxi\vendor\imgui\examples\libs\glfw                                                                                  |          2 |        552 |      3,913 |        220 |      4,685 |
| Moxxi\vendor\imgui\examples\libs\glfw\include                                                                          |          2 |        552 |      3,913 |        220 |      4,685 |
| Moxxi\vendor\imgui\examples\libs\glfw\include\GLFW                                                                     |          2 |        552 |      3,913 |        220 |      4,685 |
| Moxxi\vendor\imgui\examples\libs\usynergy                                                                              |          2 |        462 |        431 |        165 |      1,058 |
| Moxxi\vendor\imgui\misc                                                                                                |          7 |        943 |        218 |        205 |      1,366 |
| Moxxi\vendor\imgui\misc\cpp                                                                                            |          2 |         63 |         19 |         18 |        100 |
| Moxxi\vendor\imgui\misc\fonts                                                                                          |          1 |        280 |         43 |         63 |        386 |
| Moxxi\vendor\imgui\misc\freetype                                                                                       |          3 |        592 |        148 |        121 |        861 |
| Moxxi\vendor\imgui\misc\single_file                                                                                    |          1 |          8 |          8 |          3 |         19 |
| Moxxi\vendor\spdlog                                                                                                    |        151 |     36,167 |      4,100 |      7,275 |     47,542 |
| Moxxi\vendor\spdlog\bench                                                                                              |          6 |        550 |        111 |        110 |        771 |
| Moxxi\vendor\spdlog\cmake                                                                                              |          3 |        117 |          7 |         19 |        143 |
| Moxxi\vendor\spdlog\example                                                                                            |          2 |        263 |         76 |         54 |        393 |
| Moxxi\vendor\spdlog\include                                                                                            |         99 |     18,102 |      2,607 |      3,240 |     23,949 |
| Moxxi\vendor\spdlog\include\spdlog                                                                                     |         99 |     18,102 |      2,607 |      3,240 |     23,949 |
| Moxxi\vendor\spdlog\include\spdlog\cfg                                                                                 |          4 |        145 |         53 |         37 |        235 |
| Moxxi\vendor\spdlog\include\spdlog\details                                                                             |         27 |      2,313 |        264 |        521 |      3,098 |
| Moxxi\vendor\spdlog\include\spdlog\fmt                                                                                 |         20 |     10,609 |      1,570 |      1,542 |     13,721 |
| Moxxi\vendor\spdlog\include\spdlog\fmt\bundled                                                                         |         14 |     10,352 |      1,506 |      1,495 |     13,353 |
| Moxxi\vendor\spdlog\include\spdlog\sinks                                                                               |         32 |      2,365 |        324 |        548 |      3,237 |
| Moxxi\vendor\spdlog\logos                                                                                              |          1 |         43 |          0 |          1 |         44 |
| Moxxi\vendor\spdlog\scripts                                                                                            |          2 |         23 |          2 |         10 |         35 |
| Moxxi\vendor\spdlog\src                                                                                                |          7 |        145 |         27 |         50 |        222 |
| Moxxi\vendor\spdlog\tests                                                                                              |         27 |     16,094 |      1,193 |      3,636 |     20,923 |
| Plugins                                                                                                                |        179 |     37,708 |      4,395 |      7,552 |     49,655 |
| Plugins\ALG                                                                                                            |        179 |     37,708 |      4,395 |      7,552 |     49,655 |
| Plugins\ALG\src                                                                                                        |         26 |      1,201 |        284 |        250 |      1,735 |
| Plugins\ALG\src\Grid                                                                                                   |         18 |      1,104 |        278 |        224 |      1,606 |
| Plugins\ALG\src\Grid\MHC                                                                                               |          2 |         36 |         32 |         12 |         80 |
| Plugins\ALG\src\Grid\Nodes                                                                                             |         12 |        386 |         49 |         98 |        533 |
| Plugins\ALG\src\Math                                                                                                   |          2 |         34 |          1 |          9 |         44 |
| Plugins\ALG\vendor                                                                                                     |        151 |     36,167 |      4,100 |      7,275 |     47,542 |
| Plugins\ALG\vendor\spdlog                                                                                              |        151 |     36,167 |      4,100 |      7,275 |     47,542 |
| Plugins\ALG\vendor\spdlog\bench                                                                                        |          6 |        550 |        111 |        110 |        771 |
| Plugins\ALG\vendor\spdlog\cmake                                                                                        |          3 |        117 |          7 |         19 |        143 |
| Plugins\ALG\vendor\spdlog\example                                                                                      |          2 |        263 |         76 |         54 |        393 |
| Plugins\ALG\vendor\spdlog\include                                                                                      |         99 |     18,102 |      2,607 |      3,240 |     23,949 |
| Plugins\ALG\vendor\spdlog\include\spdlog                                                                               |         99 |     18,102 |      2,607 |      3,240 |     23,949 |
| Plugins\ALG\vendor\spdlog\include\spdlog\cfg                                                                           |          4 |        145 |         53 |         37 |        235 |
| Plugins\ALG\vendor\spdlog\include\spdlog\details                                                                       |         27 |      2,313 |        264 |        521 |      3,098 |
| Plugins\ALG\vendor\spdlog\include\spdlog\fmt                                                                           |         20 |     10,609 |      1,570 |      1,542 |     13,721 |
| Plugins\ALG\vendor\spdlog\include\spdlog\fmt\bundled                                                                   |         14 |     10,352 |      1,506 |      1,495 |     13,353 |
| Plugins\ALG\vendor\spdlog\include\spdlog\sinks                                                                         |         32 |      2,365 |        324 |        548 |      3,237 |
| Plugins\ALG\vendor\spdlog\logos                                                                                        |          1 |         43 |          0 |          1 |         44 |
| Plugins\ALG\vendor\spdlog\scripts                                                                                      |          2 |         23 |          2 |         10 |         35 |
| Plugins\ALG\vendor\spdlog\src                                                                                          |          7 |        145 |         27 |         50 |        222 |
| Plugins\ALG\vendor\spdlog\tests                                                                                        |         27 |     16,094 |      1,193 |      3,636 |     20,923 |
| Utility                                                                                                                |        410 |    105,600 |     30,757 |     22,046 |    158,403 |
| Utility\ALG-Reference                                                                                                  |        410 |    105,600 |     30,757 |     22,046 |    158,403 |
| Utility\ALG-Reference\ALG 2D CLUSTER 2010                                                                              |         17 |      3,430 |      1,128 |        679 |      5,237 |
| Utility\ALG-Reference\ALG 3D 2009                                                                                      |         38 |      9,123 |      1,714 |      1,634 |     12,471 |
| Utility\ALG-Reference\ALG 3D 2009\ALG                                                                                  |         19 |      2,764 |        791 |        547 |      4,102 |
| Utility\ALG-Reference\ALG 3D 2009\ALG\Exceptions                                                                       |          6 |        118 |         62 |         36 |        216 |
| Utility\ALG-Reference\ALG 3D 2009\ALG\Grid                                                                             |         13 |      2,646 |        729 |        511 |      3,886 |
| Utility\ALG-Reference\ALG 3D 2009\ALG\Grid\Cell                                                                        |          6 |      1,561 |        497 |        325 |      2,383 |
| Utility\ALG-Reference\ALG 3D 2009\Interface                                                                            |         13 |      1,146 |        387 |        290 |      1,823 |
| Utility\ALG-Reference\ALG 3D 2009\Interface\Demo                                                                       |          2 |        137 |         60 |         36 |        233 |
| Utility\ALG-Reference\ALG 3D 2009\Interface\Display                                                                    |          4 |        375 |        127 |        102 |        604 |
| Utility\ALG-Reference\ALG 3D 2009\Interface\Keyboard                                                                   |          2 |        231 |         50 |         59 |        340 |
| Utility\ALG-Reference\ALG 3D 2009\Interface\Mouse                                                                      |          2 |        302 |        104 |         59 |        465 |
| Utility\ALG-Reference\ALG 3D 2009\System                                                                               |          5 |      5,196 |        533 |        793 |      6,522 |
| Utility\ALG-Reference\ALG 3D 2013                                                                                      |         32 |      3,541 |      1,071 |        818 |      5,430 |
| Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D                                                                            |         32 |      3,541 |      1,071 |        818 |      5,430 |
| Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source                                                                     |         30 |      3,453 |      1,038 |        776 |      5,267 |
| Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg                                                                 |         24 |      3,223 |        966 |        714 |      4,903 |
| Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\exceptions                                                      |          6 |        121 |        120 |         39 |        280 |
| Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid                                                            |         18 |      3,102 |        846 |        675 |      4,623 |
| Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\alg\grid\cell                                                       |          8 |      1,551 |        550 |        345 |      2,446 |
| Utility\ALG-Reference\ALG 3D 2013\MonoAlg3D\source\models                                                              |          5 |        213 |         55 |         53 |        321 |
| Utility\ALG-Reference\ALG 3D Rafael                                                                                    |         32 |      3,541 |      1,071 |        818 |      5,430 |
| Utility\ALG-Reference\ALG 3D Rafael\source                                                                             |         30 |      3,453 |      1,038 |        776 |      5,267 |
| Utility\ALG-Reference\ALG 3D Rafael\source\alg                                                                         |         24 |      3,223 |        966 |        714 |      4,903 |
| Utility\ALG-Reference\ALG 3D Rafael\source\alg\exceptions                                                              |          6 |        121 |        120 |         39 |        280 |
| Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid                                                                    |         18 |      3,102 |        846 |        675 |      4,623 |
| Utility\ALG-Reference\ALG 3D Rafael\source\alg\grid\cell                                                               |          8 |      1,551 |        550 |        345 |      2,446 |
| Utility\ALG-Reference\ALG 3D Rafael\source\models                                                                      |          5 |        213 |         55 |         53 |        321 |
| Utility\ALG-Reference\ARTIGO 3D ALG                                                                                    |         54 |     14,173 |      2,609 |      2,190 |     18,972 |
| Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D                                                                              |         38 |      9,123 |      1,714 |      1,634 |     12,471 |
| Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG                                                                          |         19 |      2,764 |        791 |        547 |      4,102 |
| Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Exceptions                                                               |          6 |        118 |         62 |         36 |        216 |
| Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid                                                                     |         13 |      2,646 |        729 |        511 |      3,886 |
| Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\ALG\Grid\Cell                                                                |          6 |      1,561 |        497 |        325 |      2,383 |
| Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface                                                                    |         13 |      1,146 |        387 |        290 |      1,823 |
| Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Demo                                                               |          2 |        137 |         60 |         36 |        233 |
| Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Display                                                            |          4 |        375 |        127 |        102 |        604 |
| Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Keyboard                                                           |          2 |        231 |         50 |         59 |        340 |
| Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\Interface\Mouse                                                              |          2 |        302 |        104 |         59 |        465 |
| Utility\ALG-Reference\ARTIGO 3D ALG\ALG3D\System                                                                       |          5 |      5,196 |        533 |        793 |      6,522 |
| Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO                                                                             |         15 |      4,030 |        597 |        413 |      5,040 |
| Utility\ALG-Reference\ARTIGO 3D ALG\ARTIGO\tex                                                                         |         15 |      4,030 |        597 |        413 |      5,040 |
| Utility\ALG-Reference\Andre CFD                                                                                        |        220 |     69,569 |     22,583 |     15,476 |    107,628 |
| Utility\ALG-Reference\Andre CFD\CouetteSIMPLEC                                                                         |         39 |     12,837 |      4,671 |      2,616 |     20,124 |
| Utility\ALG-Reference\Andre CFD\CouetteSIMPLEC\Melhorado290507                                                         |         18 |      5,025 |      1,953 |      1,126 |      8,104 |
| Utility\ALG-Reference\Andre CFD\Parabolico                                                                             |         18 |      5,815 |      1,924 |      1,366 |      9,105 |
| Utility\ALG-Reference\Andre CFD\SuperSonico                                                                            |        163 |     50,917 |     15,988 |     11,494 |     78,399 |
| Utility\ALG-Reference\Andre CFD\SuperSonico\2006_dez_20                                                                |         19 |      5,212 |      1,307 |        948 |      7,467 |
| Utility\ALG-Reference\Andre CFD\SuperSonico\2006_nov_23                                                                |         19 |      4,500 |      1,014 |        849 |      6,363 |
| Utility\ALG-Reference\Andre CFD\SuperSonico\2007_ago_30                                                                |         18 |      6,630 |      2,247 |      2,213 |     11,090 |
| Utility\ALG-Reference\Andre CFD\SuperSonico\2007_dez_17                                                                |         23 |      8,548 |      2,900 |      1,761 |     13,209 |
| Utility\ALG-Reference\Andre CFD\SuperSonico\2007_jun_05                                                                |         18 |      6,062 |      1,984 |      1,352 |      9,398 |
| Utility\ALG-Reference\Andre CFD\SuperSonico\2007_nov_12                                                                |         22 |      6,773 |      2,153 |      1,499 |     10,425 |
| Utility\ALG-Reference\Andre CFD\SuperSonico\2007_out_31                                                                |         22 |      6,710 |      2,158 |      1,490 |     10,358 |
| Utility\ALG-Reference\Andre CFD\SuperSonico\Campo vetorial                                                             |          1 |        238 |         36 |         54 |        328 |
| Utility\ALG-Reference\Andre CFD\SuperSonico\SIMPLEALG                                                                  |         20 |      6,103 |      2,131 |      1,284 |      9,518 |
| Utility\ALG-Reference\Andre CFD\SuperSonico\SIMPLEALG\documentos                                                       |          1 |         21 |          4 |         13 |         38 |
| Utility\ALG-Reference\Andre CFD\SuperSonico\Vetores                                                                    |          1 |        141 |         58 |         44 |        243 |
| Utility\ALG-Reference\GRIDWAVE                                                                                         |         15 |      2,121 |        572 |        415 |      3,108 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                               | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\Projects\nodens-engine\Applications\Boids\Boids.vcxproj                                                             | XML              |        150 |          0 |          0 |        150 |
| d:\Projects\nodens-engine\Applications\Boids\Makefile                                                                  | Makefile         |        123 |         11 |         27 |        161 |
| d:\Projects\nodens-engine\Applications\Boids\imgui.ini                                                                 | Ini              |        102 |          0 |         21 |        123 |
| d:\Projects\nodens-engine\Applications\Boids\src\Boids.cpp                                                             | C++              |        131 |         15 |         36 |        182 |
| d:\Projects\nodens-engine\Applications\Boids\src\Boids.h                                                               | C++              |         53 |          3 |         11 |         67 |
| d:\Projects\nodens-engine\Applications\Boids\src\BoidsApp.cpp                                                          | C++              |         18 |          1 |          2 |         21 |
| d:\Projects\nodens-engine\Applications\Boids\src\BoidsLayer.cpp                                                        | C++              |        353 |         89 |         67 |        509 |
| d:\Projects\nodens-engine\Applications\Boids\src\BoidsLayer.h                                                          | C++              |         44 |          0 |         12 |         56 |
| d:\Projects\nodens-engine\Applications\ShallowWaters\Makefile                                                          | Makefile         |        123 |         11 |         27 |        161 |
| d:\Projects\nodens-engine\Applications\ShallowWaters\ShallowWaters.vcxproj                                             | XML              |        151 |          0 |          0 |        151 |
| d:\Projects\nodens-engine\Applications\ShallowWaters\imgui.ini                                                         | Ini              |         28 |          0 |          8 |         36 |
| d:\Projects\nodens-engine\Applications\ShallowWaters\src\ShallowWatersApp.cpp                                          | C++              |         17 |          1 |          2 |         20 |
| d:\Projects\nodens-engine\Applications\ShallowWaters\src\ShallowWatersLayer.cpp                                        | C++              |        236 |         19 |         55 |        310 |
| d:\Projects\nodens-engine\Applications\ShallowWaters\src\ShallowWatersLayer.h                                          | C++              |         38 |          0 |         13 |         51 |
| d:\Projects\nodens-engine\GenerateMakefile.bat                                                                         | Batch            |          2 |          0 |          0 |          2 |
| d:\Projects\nodens-engine\GenerateVS22Projects.bat                                                                     | Batch            |          2 |          0 |          0 |          2 |
| d:\Projects\nodens-engine\Makefile                                                                                     | Makefile         |        113 |          1 |         23 |        137 |
| d:\Projects\nodens-engine\Moxxi\Makefile                                                                               | Makefile         |        236 |         11 |         27 |        274 |
| d:\Projects\nodens-engine\Moxxi\Moxxi.vcxproj                                                                          | XML              |        365 |          0 |          0 |        365 |
| d:\Projects\nodens-engine\Moxxi\src\Moxxi.h                                                                            | C++              |         21 |          5 |         10 |         36 |
| d:\Projects\nodens-engine\Moxxi\src\Moxxi\Application.cpp                                                              | C++              |         73 |         10 |         19 |        102 |
