Date : 2022-09-03 16:37:23
Directory : d:\Projects\nodens-engine
Total : 2765 files,  623383 codes, 91567 comments, 84240 blanks, all 799190 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\functions_d.js                                               | JavaScript       |         83 |          0 |          1 |         84 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\functions_e.html                                             | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\functions_e.js                                               | JavaScript       |         19 |          0 |          1 |         20 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\functions_f.html                                             | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\functions_f.js                                               | JavaScript       |         35 |          0 |          1 |         36 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_0.html                                                | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_0.js                                                  | JavaScript       |          4 |          0 |          1 |          5 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_1.html                                                | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_1.js                                                  | JavaScript       |          5 |          0 |          1 |          6 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_2.html                                                | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_2.js                                                  | JavaScript       |          5 |          0 |          1 |          6 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_3.html                                                | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_3.js                                                  | JavaScript       |          4 |          0 |          1 |          5 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_4.html                                                | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_4.js                                                  | JavaScript       |        122 |          0 |          1 |        123 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_5.html                                                | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_5.js                                                  | JavaScript       |          4 |          0 |          1 |          5 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_6.html                                                | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_6.js                                                  | JavaScript       |          6 |          0 |          1 |          7 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_7.html                                                | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_7.js                                                  | JavaScript       |          4 |          0 |          1 |          5 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_8.html                                                | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_8.js                                                  | JavaScript       |          4 |          0 |          1 |          5 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_9.html                                                | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\groups_9.js                                                  | JavaScript       |          6 |          0 |          1 |          7 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\nomatches.html                                               | HTML             |         12 |          0 |          1 |         13 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\pages_0.html                                                 | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\pages_0.js                                                   | JavaScript       |          4 |          0 |          1 |          5 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\search.css                                                   | CSS              |        220 |          5 |         47 |        272 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\search.js                                                    | JavaScript       |        688 |         36 |         68 |        792 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\searchdata.js                                                | JavaScript       |         27 |          0 |          4 |         31 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_0.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_0.js                                                | JavaScript       |        179 |          0 |          1 |        180 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_1.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_1.js                                                | JavaScript       |         22 |          0 |          1 |         23 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_2.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_2.js                                                | JavaScript       |         37 |          0 |          1 |         38 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_3.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_3.js                                                | JavaScript       |         78 |          0 |          1 |         79 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_4.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_4.js                                                | JavaScript       |        188 |          0 |          1 |        189 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_5.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_5.js                                                | JavaScript       |         61 |          0 |          1 |         62 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_6.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_6.js                                                | JavaScript       |        188 |          0 |          1 |        189 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_7.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_7.js                                                | JavaScript       |        200 |          0 |          1 |        201 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_8.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_8.js                                                | JavaScript       |        179 |          0 |          1 |        180 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_9.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_9.js                                                | JavaScript       |          5 |          0 |          1 |          6 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_a.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_a.js                                                | JavaScript       |         12 |          0 |          1 |         13 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_b.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_b.js                                                | JavaScript       |         47 |          0 |          1 |         48 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_c.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_c.js                                                | JavaScript       |          7 |          0 |          1 |          8 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_d.html                                              | HTML             |         21 |          5 |          1 |         27 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\search\typedefs_d.js                                                | JavaScript       |          4 |          0 |          1 |          5 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\api\tabs.css                                                            | CSS              |         53 |          0 |          8 |         61 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\doc\theme\doxygen.css                                                       | CSS              |      1,214 |         46 |        237 |      1,497 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\CMakeLists.txt                                                          | CMake            |         66 |          0 |         13 |         79 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\INSTALL.vcxproj                                                         | XML              |        204 |          0 |          0 |        204 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\PACKAGE.vcxproj                                                         | XML              |        216 |          0 |          0 |        216 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\RUN_TESTS.vcxproj                                                       | XML              |        194 |          0 |          0 |        194 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\common.hpp                                                              | C++              |         97 |        389 |         54 |        540 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\_features.hpp                                                    | C++              |        110 |        185 |        100 |        395 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\_fixes.hpp                                                       | C++              |         16 |          5 |          7 |         28 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\_noise.hpp                                                       | C++              |         67 |          0 |         15 |         82 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\_swizzle.hpp                                                     | C++              |        704 |         55 |         46 |        805 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\_swizzle_func.hpp                                                | C++              |        648 |          0 |         35 |        683 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\_vectorize.hpp                                                   | C++              |        142 |          0 |         21 |        163 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\compute_common.hpp                                               | C++              |         43 |          1 |          7 |         51 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\compute_vector_relational.hpp                                    | C++              |         16 |         12 |          3 |         31 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_common.inl                                                  | C++              |        638 |         43 |        112 |        793 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_common_simd.inl                                             | C++              |        195 |         14 |         23 |        232 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_exponential.inl                                             | C++              |        123 |          9 |         21 |        153 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_exponential_simd.inl                                        | C++              |         30 |          2 |          6 |         38 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_geometric.inl                                               | C++              |        193 |         17 |         34 |        244 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_geometric_simd.inl                                          | C++              |        143 |          2 |         19 |        164 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_integer.inl                                                 | C++              |        308 |         11 |         54 |        373 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_integer_simd.inl                                            | C++              |         52 |          0 |         14 |         66 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_matrix.inl                                                  | C++              |        386 |          0 |         58 |        444 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_matrix_simd.inl                                             | C++              |        191 |         24 |         35 |        250 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_packing.inl                                                 | C++              |        144 |          2 |         44 |        190 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_packing_simd.inl                                            | C++              |          5 |          0 |          2 |          7 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_trigonometric.inl                                           | C++              |        145 |         14 |         39 |        198 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_trigonometric_simd.inl                                      | C++              |          0 |          0 |          1 |          1 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_vector_relational.inl                                       | C++              |         78 |          0 |         10 |         88 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\func_vector_relational_simd.inl                                  | C++              |          5 |          0 |          2 |          7 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\glm.cpp                                                          | C++              |        199 |         17 |         49 |        265 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\qualifier.hpp                                                    | C++              |        196 |          1 |         34 |        231 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\setup.hpp                                                        | C++              |        882 |        108 |        167 |      1,157 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_float.hpp                                                   | C++              |         51 |          3 |         15 |         69 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_half.hpp                                                    | C++              |         11 |          0 |          6 |         17 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_half.inl                                                    | C++              |        121 |         80 |         41 |        242 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat2x2.hpp                                                  | C++              |        120 |         11 |         47 |        178 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat2x2.inl                                                  | C++              |        465 |          9 |         63 |        537 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat2x3.hpp                                                  | C++              |        107 |         11 |         42 |        160 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat2x3.inl                                                  | C++              |        445 |          9 |         57 |        511 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat2x4.hpp                                                  | C++              |        109 |         11 |         42 |        162 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat2x4.inl                                                  | C++              |        455 |          9 |         57 |        521 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat3x2.hpp                                                  | C++              |        114 |         11 |         43 |        168 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat3x2.inl                                                  | C++              |        467 |          9 |         57 |        533 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat3x3.hpp                                                  | C++              |        127 |         11 |         47 |        185 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat3x3.inl                                                  | C++              |        528 |          9 |         65 |        602 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat3x4.hpp                                                  | C++              |        114 |         11 |         42 |        167 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat3x4.inl                                                  | C++              |        513 |          9 |         57 |        579 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat4x2.hpp                                                  | C++              |        119 |         11 |         42 |        172 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat4x2.inl                                                  | C++              |        509 |          9 |         57 |        575 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat4x3.hpp                                                  | C++              |        119 |         11 |         42 |        172 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat4x3.inl                                                  | C++              |        533 |          9 |         57 |        599 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat4x4.hpp                                                  | C++              |        132 |         11 |         47 |        190 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat4x4.inl                                                  | C++              |        598 |         36 |         73 |        707 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_mat4x4_simd.inl                                             | C++              |          3 |          1 |          3 |          7 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_quat.hpp                                                    | C++              |        125 |         22 |         45 |        192 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_quat.inl                                                    | C++              |        325 |         29 |         59 |        413 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_quat_simd.inl                                               | C++              |        117 |         55 |         17 |        189 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_vec1.hpp                                                    | C++              |        194 |         47 |         68 |        309 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_vec1.inl                                                    | C++              |        455 |         13 |         86 |        554 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_vec2.hpp                                                    | C++              |        288 |         21 |         94 |        403 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_vec2.inl                                                    | C++              |        781 |         13 |        122 |        916 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_vec3.hpp                                                    | C++              |        316 |         24 |         96 |        436 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_vec3.inl                                                    | C++              |        929 |         13 |        129 |      1,071 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_vec4.hpp                                                    | C++              |        372 |         36 |        101 |        509 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_vec4.inl                                                    | C++              |        968 |         13 |        162 |      1,143 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\detail\type_vec4_simd.inl                                               | C++              |        681 |          2 |         93 |        776 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\exponential.hpp                                                         | C++              |         24 |         74 |         13 |        111 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext.hpp                                                                 | C++              |        229 |          3 |         24 |        256 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_clip_space.hpp                                               | C++              |        137 |        336 |         50 |        523 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_clip_space.inl                                               | C++              |        492 |          1 |         63 |        556 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_common.hpp                                                   | C++              |         14 |         14 |          9 |         37 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_common.inl                                                   | C++              |         14 |          0 |          3 |         17 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double2x2.hpp                                                | C++              |          7 |         11 |          6 |         24 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double2x2_precision.hpp                                      | C++              |         11 |         29 |         10 |         50 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double2x3.hpp                                                | C++              |          6 |          8 |          5 |         19 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double2x3_precision.hpp                                      | C++              |          8 |         17 |          7 |         32 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double2x4.hpp                                                | C++              |          6 |          8 |          5 |         19 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double2x4_precision.hpp                                      | C++              |          8 |         17 |          7 |         32 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double3x2.hpp                                                | C++              |          6 |          8 |          5 |         19 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double3x2_precision.hpp                                      | C++              |          8 |         17 |          7 |         32 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double3x3.hpp                                                | C++              |          7 |         11 |          6 |         24 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double3x3_precision.hpp                                      | C++              |         11 |         29 |         10 |         50 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double3x4.hpp                                                | C++              |          6 |          8 |          5 |         19 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double3x4_precision.hpp                                      | C++              |          8 |         17 |          7 |         32 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double4x2.hpp                                                | C++              |          6 |          8 |          5 |         19 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double4x2_precision.hpp                                      | C++              |          8 |         17 |          7 |         32 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double4x3.hpp                                                | C++              |          6 |          8 |          5 |         19 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double4x3_precision.hpp                                      | C++              |          8 |         17 |          7 |         32 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double4x4.hpp                                                | C++              |          7 |         11 |          6 |         24 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_double4x4_precision.hpp                                      | C++              |         11 |         29 |         10 |         50 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float2x2.hpp                                                 | C++              |          7 |         11 |          6 |         24 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float2x2_precision.hpp                                       | C++              |         11 |         29 |         10 |         50 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float2x3.hpp                                                 | C++              |          6 |          8 |          5 |         19 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float2x3_precision.hpp                                       | C++              |          8 |         17 |          7 |         32 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float2x4.hpp                                                 | C++              |          6 |          8 |          5 |         19 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float2x4_precision.hpp                                       | C++              |          8 |         17 |          7 |         32 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float3x2.hpp                                                 | C++              |          6 |          8 |          5 |         19 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float3x2_precision.hpp                                       | C++              |          8 |         17 |          7 |         32 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float3x3.hpp                                                 | C++              |          7 |         11 |          6 |         24 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float3x3_precision.hpp                                       | C++              |         11 |         29 |         10 |         50 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float3x4.hpp                                                 | C++              |          6 |          8 |          5 |         19 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float3x4_precision.hpp                                       | C++              |          8 |         17 |          7 |         32 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float4x2.hpp                                                 | C++              |          6 |          8 |          5 |         19 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float4x2_precision.hpp                                       | C++              |          8 |         17 |          7 |         32 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float4x3.hpp                                                 | C++              |          6 |          8 |          5 |         19 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float4x3_precision.hpp                                       | C++              |          8 |         17 |          7 |         32 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float4x4.hpp                                                 | C++              |          7 |         11 |          6 |         24 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_float4x4_precision.hpp                                       | C++              |         11 |         29 |         10 |         50 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int2x2.hpp                                                   | C++              |         10 |         21 |          8 |         39 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int2x2_sized.hpp                                             | C++              |         17 |         39 |         15 |         71 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int2x3.hpp                                                   | C++              |          9 |         18 |          7 |         34 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int2x3_sized.hpp                                             | C++              |         13 |         27 |         10 |         50 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int2x4.hpp                                                   | C++              |          9 |         18 |          7 |         34 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int2x4_sized.hpp                                             | C++              |         13 |         27 |         10 |         50 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int3x2.hpp                                                   | C++              |          9 |         18 |          7 |         34 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int3x2_sized.hpp                                             | C++              |         13 |         27 |         10 |         50 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int3x3.hpp                                                   | C++              |         10 |         21 |          8 |         39 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int3x3_sized.hpp                                             | C++              |         17 |         39 |         15 |         71 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int3x4.hpp                                                   | C++              |          9 |         18 |          7 |         34 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int3x4_sized.hpp                                             | C++              |         13 |         27 |         10 |         50 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int4x2.hpp                                                   | C++              |          9 |         18 |          7 |         34 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int4x2_sized.hpp                                             | C++              |         13 |         27 |         10 |         50 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int4x3.hpp                                                   | C++              |          9 |         18 |          7 |         34 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int4x3_sized.hpp                                             | C++              |         13 |         27 |         10 |         50 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int4x4.hpp                                                   | C++              |         10 |         21 |          8 |         39 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_int4x4_sized.hpp                                             | C++              |         17 |         39 |         15 |         71 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_integer.hpp                                                  | C++              |         20 |         61 |         11 |         92 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_integer.inl                                                  | C++              |         34 |          0 |          5 |         39 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_projection.hpp                                               | C++              |         33 |        103 |         14 |        150 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_projection.inl                                               | C++              |         85 |          1 |         21 |        107 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_relational.hpp                                               | C++              |         29 |         87 |         17 |        133 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_relational.inl                                               | C++              |         73 |          3 |         13 |         89 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_transform.hpp                                                | C++              |         32 |         99 |         14 |        145 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_transform.inl                                                | C++              |        133 |          0 |         21 |        154 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_uint2x2.hpp                                                  | C++              |         10 |         21 |          8 |         39 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_uint2x2_sized.hpp                                            | C++              |         17 |         39 |         15 |         71 |
| d:\Projects\nodens-engine\Moxxi\vendor\glm\glm\ext\matrix_uint2x3.hpp                                                  | C++              |          9 |         18 |          7 |         34 |
